0 104 -1 #SOURCE SINK HEADER
0 16 4756
16 55 945
55 1 5074
1 71 156
71 31 5675
31 88 1251
88 56 5919
56 68 4245
68 11 5750
11 20 4138
20 59 2712
59 15 3132
15 29 2075
29 13 1463
13 36 6374
36 97 1935
97 39 6199
39 85 2135
85 17 6234
17 90 5270
90 98 4858
98 42 1507
42 43 638
43 52 4069
52 19 130
19 33 560
33 78 6474
78 93 3969
93 67 2226
67 12 6182
12 84 7491
84 4 6608
4 28 2169
28 82 1694
82 89 853
89 27 5271
27 94 4436
94 25 5482
25 5 4991
5 50 8375
50 103 6602
103 92 2065
92 91 7518
91 58 8194
58 95 4044
95 64 1695
64 69 2854
69 86 6958
86 83 1112
83 57 7648
57 23 7538
23 44 4564
44 102 4727
102 38 3045
38 7 1302
7 24 2764
24 96 3229
96 47 6643
47 80 4444
80 14 68
14 100 5233
100 77 4119
77 10 586
10 48 5953
48 45 3320
45 79 7214
79 30 450
30 73 3116
73 76 145
76 61 2164
61 34 6064
34 74 2507
74 54 758
54 65 5760
65 87 7016
87 70 4005
70 8 5637
8 9 428
9 72 7761
72 99 4481
99 53 7676
53 75 1482
75 37 6166
37 21 7151
21 62 4737
62 6 5689
6 49 7808
49 22 1717
22 35 997
35 60 3144
60 40 327
40 66 6746
66 51 6759
51 2 1901
2 18 6328
18 3 1186
3 32 2815
32 41 1124
41 46 5480
46 63 1149
63 26 6956
26 101 6868
101 81 2352
81 104 1212
91 82 1419
98 64 5948
29 43 2335
50 82 4465
59 11 996
97 8 7570
8 59 3068
70 81 1077
59 83 2697
53 29 413
25 81 5771
48 3 3757
5 44 4804
38 22 3990
83 96 5303
66 74 4340
78 63 3879
55 17 999
9 20 7745
103 28 4495
67 84 6821
32 81 1473
83 81 5134
56 98 8348
5 33 6703
83 66 1330
60 50 5667
89 95 5516
77 11 3387
48 7 5862
59 56 5473
84 49 2312
99 69 4352
15 84 6234
16 53 1210
50 18 8401
34 81 4925
34 98 4722
10 85 4802
0 3 222
10 40 8400
67 92 5435
38 58 1606
16 62 8180
18 63 4362
66 19 7995
87 62 2418
50 76 6231
61 16 6497
24 79 5690
49 11 1473
14 98 7720
9 83 6248
58 60 8294
89 35 4347
23 64 2337
38 70 35
62 7 7087
68 48 587
99 6 3722
97 48 3739
79 66 1554
36 92 770
23 7 6935
40 43 4819
82 32 2272
73 5 2974
91 47 5304
40 93 7143
55 41 7706
69 39 3652
73 79 5714
16 19 7153
102 81 4382
79 87 6888
83 78 4009
32 13 5022
53 83 2718
34 37 8151
27 50 5209
15 21 4508
53 26 6955
53 35 6113
71 64 4986
21 49 6590
27 2 6972
45 27 138
21 34 1096
60 16 7812
51 23 7634
29 84 6022
28 80 8220
80 7 6882
67 17 2747
26 103 156
9 63 7968
73 70 5712
66 90 3765
39 22 4603
43 47 1177
0 99 1189
41 25 2698
26 43 8042
104 96 3722
93 50 7267
104 44 6442
58 78 2821
85 30 4915
71 51 7143
27 103 5259
85 9 4233
45 34 892
70 72 601
74 49 3854
13 46 2226
88 91 3161
92 102 1132
100 73 4780
86 38 41
5 79 7288
30 15 2478
59 72 1995
80 42 4160
92 53 4078
82 65 1335
84 43 1483
96 52 6743
38 96 705
93 17 1702
16 34 2732
37 29 3226
90 81 2902
96 99 1278
49 4 1235
82 97 7164
79 103 3241
82 55 655
104 54 4782
90 48 7939
87 56 331
10 27 645
18 69 6997
102 12 153
93 4 482
84 35 1623
61 58 5843
52 60 1686
91 26 5431
54 82 4248
79 63 8289
60 102 3402
47 73 2602
56 20 5003
97 41 1494
104 77 3131
94 67 6775
58 49 7835
44 39 4607
94 82 6783
55 64 7785
47 58 1395
18 31 53
36 62 3604
81 2 4001
25 23 1220
80 50 4327
99 36 4176
8 99 2757
92 60 5435
7 20 5193
98 34 5192
33 79 2183
87 10 2784
103 38 6883
2 92 4166
97 59 3153
91 81 4340
45 38 3699
30 66 8089
92 80 6301
2 8 4584
34 13 4724
90 15 6067
1 7 2993
5 65 3995
89 102 253
6 84 5610
73 80 1463
104 103 355
57 33 7915
50 17 6519
66 58 3864
30 25 5197
6 63 5227
90 82 3172
5 24 4977
43 101 2560
22 18 2176
64 18 5232
22 43 3486
22 28 5476
67 71 2053
11 101 527
95 97 7425
0 13 6296
73 45 6281
101 80 1537
72 9 7641
67 77 145
85 35 8177
53 12 288
50 93 7446
101 9 5694
72 56 3801
24 97 361
91 83 6584
10 68 7046
68 9 7145
88 13 525
46 7 809
104 12 2168
