8 14 40
14 8 40
14 19 61
19 14 61
19 1 67
1 19 67
1 11 36
11 1 36
11 18 86
18 11 86
18 12 54
12 18 54
12 15 65
15 12 65
15 6 77
6 15 77
6 2 18
2 6 18
2 0 100
0 2 100
0 9 79
9 0 79
9 3 45
3 9 45
3 5 63
5 3 63
5 13 17
13 5 17
13 7 23
7 13 23
7 4 85
4 7 85
4 10 14
10 4 14
10 16 45
16 10 45
16 17 83
17 16 83
3 17 93
17 3 46
6 1 39
1 6 51
8 7 82
7 8 18
6 13 6
13 6 16
12 6 81
6 12 48
3 18 54
18 3 46
10 7 51
7 10 63
0 11 69
11 0 27
8 4 98
4 8 82
10 8 26
8 10 4
14 10 94
10 14 27
17 11 38
11 17 2
15 8 60
8 15 7
10 18 25
18 10 41
13 16 52
16 13 55
10 2 97
2 10 87
1 18 65
18 1 7
18 8 8
8 18 31
0 6 33
6 0 13
7 19 29
19 7 52
12 13 8
13 12 11
11 19 53
19 11 28
7 5 54
5 7 41
0 14 100
14 0 85
5 9 1
9 5 3
3 4 75
4 3 57
10 15 77
15 10 83
2 7 46
7 2 81
17 5 78
5 17 82
11 4 58
4 11 45
3 7 68
7 3 17
17 4 52
4 17 1
19 3 77
3 19 64
6 10 76
10 6 28
6 18 42
18 6 92
11 12 95
12 11 18
10 9 93
9 10 33
19 9 8
9 19 13
