12 14 37
14 4 48
4 2 38
2 18 95
18 19 67
19 9 54
9 10 21
10 17 90
17 13 72
13 15 18
15 5 21
5 0 20
0 3 2
3 6 6
6 7 40
7 11 22
11 8 8
8 1 61
1 16 33
10 2 36
17 14 50
1 12 57
5 6 95
11 13 82
13 1 99
19 11 74
14 11 29
15 3 7
16 1 23
6 9 99
9 6 87
4 3 14
19 6 7
3 7 89
3 14 60
3 4 62
17 9 26
8 13 34
7 6 19
18 16 95
18 1 50
3 2 5
1 9 86
16 2 63
12 0 76
3 19 71
4 1 44
1 13 21
4 8 76
8 4 71
2 19 23
0 17 94
15 2 16
11 19 68
19 18 98
0 13 57
7 19 27
1 7 54
13 10 23
16 9 31
19 10 99
16 5 42
8 15 33
7 9 99
17 4 1
10 6 18
4 19 8
12 1 96
4 16 36
12 9 31
19 3 66
0 8 85
10 12 22
2 11 74
6 12 63
3 1 95
1 6 36
6 4 77
10 15 69
0 5 62
5 15 32
18 4 85
14 15 26
14 2 85
11 14 57
15 13 75
16 17 79
14 18 79
13 7 83
2 17 76
0 15 64
7 16 95
2 9 61
11 3 13
3 0 61
17 16 82
0 16 27
18 12 11
2 4 52
17 8 44
15 17 66
19 13 62
8 0 70
1 19 4
10 7 91
7 12 29
3 12 27
15 1 39
13 14 88
10 13 65
0 1 23
0 6 97
10 5 43
5 17 77
